test_suite,test_name,smell,metric_value
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_load_example_context_before_of_tag,Duplicate Assert,1
C:\\Users\\publi\\Downloads\\beam-fixed\learning\katas\python\test_helper.py,test_is_not_empty,Conditional Logic,1
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_ci_cd.py,test_ci_step,Conditional Logic,1
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_datastore_client.py,test_save_to_cloud_datastore_in_the_usual_case,Conditional Logic,1
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_find_examples,Conditional Logic,1
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\dataframe\schemas_test.py,test_name_func,Conditional Logic,1
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\io\gcp\bigquery_test.py,test_with_batched_input_exceeds_size_limit,Conditional Logic,2
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_enrichment,Conditional Logic,1
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_kafka_read,Conditional Logic,1
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_pubsub_read,Conditional Logic,1
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_run_inference_taxi_fare,Conditional Logic,1
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_run_inference_youtube_comments,Conditional Logic,2
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_validate_examples_for_duplicates_by_name_in_the_usual_case,Exception Handling,1
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_validate_examples_for_conflicting_datasets_same_datasets_no_conflicts,Exception Handling,1
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_validate_examples_for_conflicting_datasets_different_datasets_no_conflicts,Exception Handling,1
C:\\Users\\publi\\Downloads\\beam-fixed\learning\katas\python\test_helper.py,test_is_not_empty,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\dataframe\schemas_test.py,test_name_func,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\io\gcp\bigquery_test.py,test_with_batched_input_exceeds_size_limit,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\io\gcp\bigquery_test.py,test_with_batched_input_splits_large_batch,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\transforms\core_test.py,test_callablewrapper_typehint,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_enrichment,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_kafka_read,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_pubsub_read,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_run_inference_taxi_fare,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\sdks\python\apache_beam\yaml\examples\testing\examples_test.py,test_run_inference_youtube_comments,Unknown Test,0
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_find_examples,Magic Number,1
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_dataset_path_ok,Magic Number,2
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_logger.py,test_setup_logger,Magic Number,1
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_ci_cd.py,test_ci_step,Assertion Roullete,2
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_datastore_client.py,test_save_to_cloud_datastore_in_the_usual_case,Assertion Roullete,4
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_find_examples,Assertion Roullete,3
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_load_example_context_before_of_tag,Assertion Roullete,2
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test__get_object_type,Assertion Roullete,3
C:\\Users\\publi\\Downloads\\beam-fixed\playground\infrastructure\test_helper.py,test_dataset_path_ok,Assertion Roullete,4
